author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb47194881g#Expression,La última fada,"Cádiz : Cazador de ratas editorial , 2021",Cádiz,2021,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb474010549#Expression,Colección Pardo Bazán,"Cádiz : Cazador de ratas editorial , 2021-",Cádiz,2021,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb44515845g#Expression,Cuentos de amor,"Madrid : Hermida editores , cop. 2012",Madrid,2012,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb44274657d#Expression,Le château d'Ulloa,"[Paris] : Viviane Hamy , DL 2008",[Paris],2008,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb35306266h#Expression,Le Château d'Ulloa,"[Paris] : V. Hamy , 1990",[Paris],1990,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb41070365g#Expression,Obras completas,"Madrid : Fundación José Antonio de Castro , 1999-",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb34315994h#Expression,Obras completas,"Madrid : Aguilar , 1957-",Madrid,1957,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb352219534#Expression,Los Pazos de Ulloa,"Barcelona ; Bogotá ; Buenos Aires [et al.] : Bruguera , 1974",Barcelona. - Bogotá. - Buenos Aires [et al.],1974,
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb45579339h#Expression,En las cavernas (1912),"[Madrid] : Ediciones 19 , imp. 2018",[Madrid],2018,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb46649110x#Expression,Insolación : historia amorosa,"[Madrid] : JdeJ Editores , [2020]",[Madrid],2020,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb374122995#Expression,Los pazos de Ulloa,"Madrid : Espasa-Calpe , 1987",Madrid,1987,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb475171087#Expression,Los pazos de Ulloa,"Madrid : Real academia española , 2017",Madrid,2017,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb46666594k#Expression,Los pazos de Ulloa,"Madrid : Cátedra , 2020",Madrid,2020,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb388307143#Expression,La madre naturaleza,"Madrid : Cátedra , 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb486199354#Expression,Une goutte de sang,"Pessac : PUPPA , DL 2025",Pessac,2025,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb444015935#Expression,"El vidrio roto : cuentos para las Américas, Argentina","Vigo : Mar Maior , impr. 2014",Vigo,2014,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb43779423g#Expression,La madre naturaleza,"Barcelona : Castalia , 2014",Barcelona,2014,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb35465220c#Expression,Cuentos completos,"La Coruña : Fundación Pedro Barrie de la Maza Conde de Fenosa , 1990",La Coruña,1990,http://id.loc.gov/vocabulary/iso639-2/spa
