author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35087521r#Expression,Fantine,"Paris : Hachette , 1990",Paris,1990,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35499435j#Expression,Gavroche,"Paris : Hachette jeunesse , 1992",Paris,1992,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb485339933#Expression,Bug-Jargal : une épopée passionnante de liberté et d'amitié dans les Caraïbes du XVIIIe siècle,"Forbach : BoD-Books on demand , 2025",Forbach,2025,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb42953819p#Expression,The Children of the poor.. Poem by Victor Hugo.... Translation by Algernon Charles Swinburne. Music by David Diamond. [Mélodie chant et piano],"New York : Leeds music corporation , [1950]",New York,1950,http://id.loc.gov/vocabulary/iso639-2/eng
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb47573737r#Expression,Les misérables,"Lyon : Lelivrescolaire.fr , DL 2024",Lyon,2024,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35803221p#Expression,Les misérables,"Vanves : Hachette , 1995",Vanves,1995,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34346451q#Expression,Poésies,"[Paris] : Flammarion , 1996-",[Paris],1996,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb38930145w#Expression,Cent poèmes de Victor Hugo : le siècle avait deux ans,"[Paris] : Omnibus , 2001",[Paris],2001,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb451954324#Expression,Notre-Dame de Paris vue par Victor Hugo,"[Paris] : Nouvelles éditions Scala , DL 2016",[Paris],2016,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb43794640t#Expression,Chanson pour faire danser en rond les petits enfants et autres poèmes,"[Paris] : Gallimard jeunesse , DL 2013",[Paris],2013,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb43794937r#Expression,L'homme qui rit,"[Paris] : Gallimard jeunesse , DL 2013",[Paris],2013,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34299665j#Expression,Ruy Blas : 1838,"[Paris] : Hachette , 1976",[Paris],1976,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb42676061w#Expression,Hernani,"Paris : Flammarion , DL 2012",Paris,2012,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb38895835s#Expression,Notre-Dame de Paris,"Paris : Hachette , 2002",Paris,2002,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb39359710k#Expression,Napoléon le Petit. Nouvelle édition,"[Paris?] : [M. Lévy?] , 1879",[Paris?],1879,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34572378g#Expression,La Légende des siècles,"Paris : Garnier frères , 1974",Paris,1974,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb466327084#Expression,"Les destinées : quatre mélodies pour mezzo-soprano, piano, violon et violoncelle","Les Auxons : Colette Mourey , 2018",Les Auxons,2018,http://id.loc.gov/vocabulary/iso639-2/zxx
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb30966528c#Expression,Une chansonnette des rues et des bois,"Chaillot : [impr. de Alcan-Lévy] , 1865",Chaillot,1865,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb41027382q#Expression,Ruy Blas,"Paris : EPM ; [France] : distrib. Socadisc , [DL 2007]",Paris. - [France],2007,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb37392025j#Expression,Cromwell,"Paris : Flammarion , 1990",Paris,1990,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb423424371#Expression,Aphorismes,"Strasbourg : Ivres de livres , DL 2010",Strasbourg,2010,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb44335307m#Expression,Claude Gueux,"[Paris] : Gallimard , DL 2015",[Paris],2015,http://id.loc.gov/vocabulary/iso639-2/fre
